index,item_id,source,notes,location,value,inventory_date,title,series,type,date_year,medium,signatures_and_writing,condition,category,height,width,depth,size_notes,dimensions,file1,file2,file3,file4,file5,url1,url2,url3,url4,url5
2333,AT.B.0005,Aldo foundation,,,,,,Box of assorted portfolios,,,,,,,,,,,,"remote:IMG_4141.JPG
size:3264,2448
JPEG:IMG_4141_8.jpg","remote:IMG_4142.JPG
size:3264,2448
JPEG:IMG_4142_8.jpg",,,,,,,,
2334,AT.B.0006,Aldo foundation,,,,,,Group of 5 plastic bins containing photographs,,,,,,,,,,,,"remote:IMG_4147.JPG
size:3264,2448
JPEG:IMG_4147_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4147.jpg?alt=media&token=53734f61-96ea-4881-a83b-406199f834b6,,,,
2335,AT.B.0007,Aldo foundation,,,,,,"Shelf containing assorted boxes of photographes, framed and loose photographs",,,,,,,,,,,,"remote:IMG_4146.JPG
size:2448,3264
JPEG:IMG_4146_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4146.jpg?alt=media&token=e9ceea7c-1ff6-4547-867f-aebefe9e4d60,,,,
2336,AT.B.0008,Aldo foundation,,,,,,Shelf containing 00 assorted boxes of poetry,,,,,,,,,,,,"remote:IMG_4148.JPG
size:2448,3264
JPEG:IMG_4148_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4148.jpg?alt=media&token=9e3757dc-71e7-4211-8831-d615297c86cb,,,,
2337,AT.B.0009,Aldo foundation,,,,,,Box containing visual poems,,,,,,,,,,,,"remote:IMG_4149.JPG
size:2448,3264
JPEG:IMG_4149_8.jpg",,,,,,,,,
2338,AT.B.0010,Aldo foundation,,,,,,Box containing photocopies of visual poems,,,,,,,,,,,,"remote:IMG_4151.JPG
size:3264,2448
JPEG:IMG_4151_8.jpg",,,,,,,,,
2339,AT.B.0011,Aldo foundation,,,,,,Box containing assorted Juvenalia/Early works,,,,,,,,,,,,"remote:IMG_4152.JPG
size:3264,2448
JPEG:IMG_4152_8.jpg","remote:IMG_4153.JPG
size:3264,2448
JPEG:IMG_4153_8.jpg",,,,,,,,
2340,AT.B.0012,Aldo foundation,,,,,,"Shelf containing 12 boxes of misc. flyers, catalogs, assorted exhibition ephemera",,,,,,,,,,,,"remote:IMG_4177.JPG
size:2448,3264
JPEG:IMG_4177_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4177.jpg?alt=media&token=af520e74-33dd-4dbc-ae12-332aa1b268b9,,,,
2341,AT.B.0013,Aldo foundation,,,,,,Shelf containing 11 boxes of MIT materials and assorted writings,,,,,,,,,,,,"remote:IMG_4178.JPG
size:2448,3264
JPEG:IMG_4178_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_4178.jpg?alt=media&token=67334be7-89c2-4470-abec-81263d87f5b9,,,,
2342,AT.B.0014,Aldo foundation,,,,,,Shelf containing boxes of Sarah's material and assorted audio-visual  media,,,,,,,,,,,,"remote:IMG_4179.JPG
size:2448,3264
JPEG:IMG_4179_8.jpg",,,,,,,,,
2628,AT.D.0001,Gifted,Gifted to Paul Tambellini,Shipping box 2,4000,04/12/2017,,Masters Drawings,,,graphite on paper,Gifted to Paul Tambellini,,,10.75,13.75,,,,"remote:IMG_3815.JPG
size:640,480
JPEG:IMG_3815_8.jpg",,,,,,,,,
2629,AT.D.0002,Gifted,Gifted to Paul Tambellini,Shipping box 2,4000,04/12/2017,,Masters Drawings,,,"sketchpad, graphite on paper",Gifted to Paul Tambellini,,,18,12,,,,"remote:IMG_3816.JPG
size:640,480
JPEG:IMG_3816_8.jpg",,,,,https://firebasestorage.googleapis.com/v0/b/aldoproduction-a5f43.appspot.com/o/inventory%2FIMG_3816.jpg?alt=media&token=d2f22e85-9f2f-4f83-acb4-8d5fb690c5f9,,,,
2273,AT.E.0001,Aldo foundation,"Artist-Aldo Tambellini
Poet-Ishamel Reed
Poet-Norman Pritchard
Dancer- Carla Blank","International House, Columbia University",,12/02/2015,BLACK,Performance,Performance,01/06/1965,"lumagrams, poetry, dance","It was initially described as “a dramatic integration of Light Poetics and dance.”  The poetics were provided by two of the Umbra Poets from the Lower East Side.  The light was provided by the projection of the large paintings in space called “Lumagrams.” 
",,Electromedia,,,,,,,,,,,,,,,
2274,AT.E.0002,Aldo foundation,"Artist-Aldo Tambellini
Poet-Ishamel Reed
Poet-Norman Pritchard
Dancer- Carla Blank",The Bridge Theater,,12/02/2015,BLACK,Performance,Performance,03/21/1965,"lumagrams, poetry, dance","“This performance (the Bridge Theater) added a dancer to the previous Black which had “Lumagram” projections and poetry reading.  Carla Blank, dancer, covered the lobby floor of the Bridge Theatre with newspaper.  I projected on Carla and the floor from above.  The audience followed the dancer into the theatre where the second part of the program began with projections of large slides and the poets reciting their works.  “The possibilities of black in experience:  poetry, dance, projected paintings.  Black is space.  Black is sound.  Black is darkness.  Black is anger.  Black is void.  Black is.”
A.T. The Bridge Theatre Program.1965",,Electromedia,,,,,,,,,,,,,,,
2278,AT.E.0003,Aldo foundation,,The Bridge Theater,,12/02/2015,BLACK,Performance,Performance,03/22/1965,"lumagrms, poetry, dance","“This performance (the Bridge Theater) added a dancer to the previous Black which had “Lumagram” projections and poetry reading.  Carla Blank, dancer, covered the lobby floor of the Bridge Theatre with newspaper.  I projected on Carla and the floor from above.  The audience followed the dancer into the theatre where the second part of the program began with projections of large slides and the poets reciting their works.  “The possibilities of black in experience:  poetry, dance, projected paintings.  Black is space.  Black is sound.  Black is darkness.  Black is anger.  Black is void.  Black is.”
A.T. The Bridge Theatre Program.1965",,Electromedia,,,,,,,,,,,,,,,
2281,AT.E.0004,Aldo foundation,,The Bridge Thater,,12/02/2015,BLACK,Performance,Program,03/21/1965,"lumgrams,poetry,dance",,,,,,,,,,,,,,,,,,
2279,AT.E.0005,Aldo foundation,,International House,,12/02/2015,BLACK,Performance,Poster,01/06/1965,"umagrams, poetry, dance",,,Electromedia,,,,,,"remote:Untitled.pdf
size:337,478
JPEG:Untitled_42.jpg
PDF :Untitled_42.pdf",,,,,,,,,
2280,AT.E.0006,Aldo foundation,,International House,,12/02/2015,BLACK,Performance,Poster,01/06/1965,"umagrams, poetry, dance",,,Electromedia,,,,,,"remote:black_poster.jpg
size:2112,3288
DPI:300
JPEG:black_poster_8.jpg",,,,,,,,,
2275,AT.E.0009,Aldo foundation,"Artist-Aldo Tambellini
Artist-Benn Morea
Artist-Elsa Tambellini
Dance-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio
",The Bridge Theater,,12/02/2015,BLACK 2,Performances,Performance,06/07/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,,,,,,,
2277,AT.E.0010,Aldo foundation,"Artist-Aldo Tambellini
	Artist-Benn Morea
	Artist-Elsa Tambellini
Dancer-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio

",The Bridge Theater,,12/02/2015,BLACK 2,Performances,Performance,06/21/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,,,,,,,
2276,AT.E.0011,Aldo foundation,"Artist-Aldo Tambellini
	Artist-Benn Morea
	Artist-Elsa Tambellini
Dancer-Lorraine Boyd
Poet-Calvin C. Hernton
Bass-Cecil McBee
Composer-Carlos d’Alessio

",The Bridge Theater,,12/02/2015,BLACK 2,Performances,Performance,06/18/1965,"lumagrams, bass, poetry, dance","Black 2 was an attempt to enrich the theatrical experience with the impact of other fields of art.  It is the study of Sound, Light, and Motion.  This performance is believed to be the first attempt to combine the visual arts, dance, music, projections, poetry and various sounds, to affect and involve the audience’s total senses….and sense of social commitment.
	Black 2 is an abstract concept of a social message.  It is not a play, It is not a “Happening”.  It is the fusion of different arts.  It is the bombardment of the senses. I describe it as a “Centerfuge:  
The dimensions of sound, light and motion brought into organic form; the working together of several talents express  the idiom of the contemporary scene; the fusion of abstract and social commitment.
	Black 2 brings together several modalities:  film and projectors, live sound, tape recorders, a dancer, a social poet, a musician, black spaces, live machines, mike techniques a lantern and “lumagrams.”  Lumagrams are what I called my hand painted slides which are used as projected images.
     A.T Performance notes, 1965",,Electromedia,,,,,,,,,,,,,,,
2282,AT.E.0012,Aldo foundation,,The Bridge Theater,,12/02/2015,BLACK 2,Performance,Poster,06/07/1965,,,,Electromedia,,,,,,"remote:Untitled.pdf
size:376,514
JPEG:Untitled_43.jpg
PDF :Untitled_43.pdf",,,,,,,,,
2283,AT.E.0013,Aldo foundation,"“Tambellini is not only a rebel but he is a leader of rebels…..Lumagrams reminiscent of sidereal space…noises like a buzz saw gone beserk and a machine gun…but to counterbalance the stridency there was a beautiful flowing of motion and sound in the dancing and music…”
					Don Ross, New York Herald Tribune, 6/13/1965",The Bridge Theater,,12/02/2015,BLACK 2,Perfornance,News Articles,06/13/1965,,"Rebellion in Art Form-Tambellini's ""Black 2"" Don Ross, New York Tribune 06/13/1965",,,,,,,,"remote:Untitled.pdf
size:995,726
JPEG:Untitled_44.jpg
PDF :Untitled_44.pdf",,,,,,,,,
2284,AT.E.0015,Aldo foundation,"Artist-Aldo Tambellini
Artist-Ben Morea-sound and objects
Artist-Ron Hahne-masks
Artist-Elsa Tambellini
Dancer-Judith Dunn
Dancer-Al Kurchin
","Black Round, Washington Square Park Fountain, NYC",,12/02/2015,BLACK ROUND,Performance,Performance,09/25/1965,"Light, Sound, Masks, Dance","A kinetic ritual of: gas masked robots, 20th Century ‘Icons”; flashing Lumagrams (hand painted projections by Aldo Tambellini) of outer space imagery; floating images from the natural world; dissonant sounds from our mechanized environment.  Organized by Group Center.",,Electromedia,,,,,,"remote:Untitled.pdf
size:828,483
JPEG:Untitled_45.jpg
PDF :Untitled_45.pdf","remote:Untitled.pdf
size:433,268
JPEG:Untitled_46.jpg
PDF :Untitled_46.pdf",,,,,,,,
2510,AT.E.0016,Anna,Gifted to Anna,"Black Round, Washington Square Park Fountain, NYC",,12/02/2015,BLACK ROUND,Performance,News Articles,09/30/1965,,,,Electromedia,,,,,,"remote:Untitled.pdf
size:828,483
JPEG:Untitled_48.jpg
PDF :Untitled_48.pdf",,,,,,,,,
2285,AT.E.0017,Aldo foundation,,"New York, NY",,12/02/2015,Telegram,,Correspondence,,Telegram-Lindsey,,,Electromedia,,,,,,"remote:Untitled.pdf
size:433,268
JPEG:Untitled_47.jpg
PDF :Untitled_47.pdf",,,,,,,,,
2286,AT.E.0019,Aldo foundation,"By invitation from Rudi Stern and Jackie Cassen as part of their ""TRIPS"" Program.","The Dom, St. Mark's Place, NYC",,12/02/2015,Moondial,Performance - Moondial,,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,,,,,,,
2287,AT.E.0020,Aldo foundation,,The Bridge Theater,,12/02/2015,Moondial,Performance - Moondial,,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,,,,,,,
2288,AT.E.0021,Aldo foundation,,Univ. of Western Ontorio,,12/02/2015,Moondial,Performance - Moondial,,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,,,,,,,
2289,AT.E.0022,Aldo foundation,,TATE Modern,,12/02/2015,Moondial,Performance - Moondial,,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,,,,,,,
2290,AT.E.0024,Aldo foundation,,Montreal,,12/02/2015,Moondial,Performance - Moondial,,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,,,,,,,
2291,AT.E.0030,Aldo foundation,,Montreal-42nd Festival Nouveau Cinema,,12/05/2015,Moondial,Performance - Moondial,video,10/05/2013,,,,,,,,,,,,,,,,,,,
2292,AT.E.0031,Aldo foundation,,,,12/05/2015,Moondial,Performance - Moondial,Program,,,,,,,,,,,,,,,,,,,,
2633,AT.N.0001,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,08/03/2016,,Artist notebooks,,"August, 1988","Paper, India ink","Aug 88 N.Y.C. is written on inside cover. On the first page is a typed philosophical statement on color. ""6"" is written on the back inside cover. Inside pages are paintings.",Very good. 2 pages loose; 2 pages stuck together,Notebook,8,11,1.5,,,,,,,,,,,,
2634,AT.N.0002,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,08/03/2016,,Artist notebooks,,July 1988,"Paper, India ink",Signed Aldo Tambellini. Dated July 88 N.Y.C.,Excellent,Notebook,6,8.5,1.75,,,,,,,,,,,,
2635,AT.N.0003,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,08/03/2016,Aldo Tambellini Notes 1967,Artist notebooks,,1967,"Paper, India ink","Name and dated written on first page. Black circle painted on inside front cover. Contains notes on Blackout performance 1967, drawings, and notes on television performances. 45 pages of artwork, many signed.",excellent,Notebook,10.25,8.5,,,,,,,,,,,,,
2636,AT.N.0004,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,08/03/2016,Notes 1963 1964,Artist notebooks,,1963-1964,"Paper, India ink","Decorated cover with black circle. Signed Aldo Tambellini on inside cover. ""Notes 1963 1964"" written on first page. Contains circular poems, notes, and drawings",Good. Many loose pages,Notebook,11,14,1,,,,,,,,,,,,
2637,AT.N.0005,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,08/03/2016,,Artist notebooks,,1964,"Paper, India ink",Signed Aldo Tambellini 1964 on first page,,Notebook,8,10,0.5,,,,,,,,,,,,
2343,AT.P.3013,Aldo foundation,,,,,,,Painting,,,,,Painting,,,,,,,,,,,,,,,
2293,AT.P 0774,Aldo foundation,,,,01/21/2016,tTo Black I  Bring  the Light,poetry Poster,Poster,c 1961,ink on poster paper,,,,,,,,,,,,,,,,,,
2531,AT.P.0001,Anna,Anna,Rack 1,,05/09/2013,Destruction 20,Black Is Series,,,wax and graphite on cardboard with incisions and burns,"Verso: CL  ""A.Tambellini R 1004"" Recto: LR ""Aldo Tambellini '62""",,Painting,29.75,39.75,,,,,,,,,,,,,
2532,AT.P.0002,Anna,"Anna, JCG",Rack 1,,05/09/2013,A-8, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",Slipped from the hinge,Painting,29.75,42,,,,,,,,,,,,,
2533,AT.P.0003,Anna,Anna,Rack 1,,05/09/2013,B-1,Black Energy Suspended Series,,, acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.625,42,,,,,,,,,,,,,
2534,AT.P.0004,Anna,Anna,Rack 1,,05/09/2013,PFT-103, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42,,,,,,,,,,,,,
2535,AT.P.0005,Anna,Anna,Rack 2,,05/09/2013,B-2,Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.875,42,,,,,,,,,,,,,
2536,AT.P.0006,Anna,Anna,Rack 2,,05/09/2013,A-22, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42,,,,,,,,,,,,,
1,AT.P.0007,Aldo foundation,,Rack 2,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32,39.625,,,,,,,,,,,,,
2,AT.P.0008,Aldo foundation,,Rack 2,,05/09/2013,A-430, Black Energy Suspended Series,,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89""",,Painting,29.875,42,,,,,,,,,,,,,
3,AT.P.0009,Aldo foundation,,Rack 3,,05/09/2013,L-1, Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",Frame chipped,Painting,29.875,42,,,,,,,,,,,,,
4,AT.P.0010,Aldo foundation,,Rack 3,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,31.75,39.75,,,,,,,,,,,,,
2344,AT.P.0011,Anna,Gifted to Anna,Rack 3,,05/09/2013,B-4, Black Energy Suspended Series,,,acrylic on bleached  architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,40,,,,,,,,,,,,,
2537,AT.P.0012,Anna,Anna,Rack 3,,05/09/2013,AC-1,Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
5,AT.P.0013,Aldo foundation,,Rack 4,,05/09/2013,Black 4, Black Is Series,,,graphite and wax on cardboard,,,Painting,31.75,39.75,,,,,,,,,,,,,
6,AT.P.0014,Aldo foundation,,Rack 4,,05/09/2013,GA-500, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
2345,AT.P.0015,Anna,"Gifted to Anna, SOLD JCG",Rack 4,,05/09/2013,E-7, Black Energy suspended Series,,,acrylic on architectural paper with incisions,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
2538,AT.P.0016,Anna,Anna,Rack 4,,05/09/2013,S-5G, Black Energy Suspended Series,,ca. 1969,acrylic and graphite on architectural paper with incisions,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42,,,,,,,,,,,,,
2346,AT.P.0017,Anna,"Gifted to Anna, JCG",Rack 5,,05/09/2013,A-410, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
2347,AT.P.0018,Anna,"Gifted to Anna, JCG",Rack 5,,05/09/2013,A-5,Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
7,AT.P.0019,Aldo foundation,,Rack 5,,05/09/2013,AD-00, Black Energy Suspended Series,,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30,42,,,,,,,,,,,,,
8,AT.P.0020,Aldo foundation,,Rack 5,,05/09/2013,?(3), Destruction,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,31.75,39.75,,,,,,,,,,,,,
2348,AT.P.0021,Anna, Gifted to Anna    ZKM Exhibit,Rack 5,,05/09/2013,Arriving is a Point of Never Arriving, Manifesto Series,,,acrylic on paper,"UL: ""Summer 61 Arriving is a Point of Never Arriving"" UR:""The arrival is at the constant process of giving birth of not knowing"" LR"" arriving is a point of never arriving"" / ""Aldo Tambellini 1961""",,Painting,25.75,38.375,,,,,,,,,,,,,
2349,AT.P.0022,Anna,Gifted to Anna     ZKM Exhibit,Rack 5,,05/09/2013,We are Alone, Manifesto Series,,,acrylic on paper,"LR: ""We see the intimate structure of a plant / we feel the inconceivable structure of the universe / we need everything and everyone in the process of discovery."" / ""Then we are alone / Aldo Tambellini 1961""",,Painting,25.625,38.75,,,,,,,,,,,,,
9,AT.P.0023,Aldo foundation,,Rack 6,,05/09/2013,Untitled,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,51.25,,,,,,,,,,,,,
10,AT.P.0024,Aldo foundation,,Rack 6,,05/09/2013,Eclipse 2,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,75.375,,,,,,,,,,,,,
2632,AT.P.0025,Gifted,ZKM Exhibit?? JCG,Rack 7,,05/09/2013,The Cell Grew into a Star, Manifesto Series,,,"Monoprint, duco and pencil on paper","LR: ""Aldo Tambellini '61"" / CR ""The cell grew into a star the star grew into seed the seed grew into an atom the atom grew grew into a breath grew grew the breath grew into a cave the cave into a cosmo the grew into a volcano the volcano grew into a cell.""",,Painting,22.5,35,,,,,,,,,,,,,
11,AT.P.0026,Aldo foundation,,Rack 7,,05/09/2013,Black Energy 3, Black Energy Burns with Fire,,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30.125,40,,,,,,,,,,,,,
12,AT.P.0027,Aldo foundation,,Rack 7,,05/09/2013,Untitled,,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45,35.375,,,,,,,,,,,,,
