index,item_id,source,notes,location,value,inventory_date,title,series,date_year,medium,signature_and_writing,condition,category,height,width,depth,size_note,file1,file2,file3,file4,file5
37,AT.E.0019,Aldo foundation,"By invitation from Rudi Stern and Jackie Cassen as part of their ""TRIPS"" Program.","The Dom, St. Mark's Place, NYC",,2015-12-02,Moondial,Performance - Moondial,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,
38,AT.E.0020,Aldo foundation,,The Bridge Theater,,2015-12-02,Moondial,Performance - Moondial,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,
39,AT.E.0021,Aldo foundation,,Univ. of Western Ontorio,,2015-12-02,Moondial,Performance - Moondial,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,
40,AT.E.0022,Aldo foundation,,TATE Modern,,2015-12-02,Moondial,Performance - Moondial,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,
41,AT.E.0024,Aldo foundation,,Montreal,,2015-12-02,Moondial,Performance - Moondial,,,"The program was originally inspired by the dancer Beverly Schmidt to include improvisational dance, sound and projected hand painted film and slides (lumagrams). Aldo designed a very simple costume for the dancer made out of clear transparent plastic.  Silver discs were pinned all over the plastic costume so that they would shine and shimmer under the light as the dancer moved.  Her headpiece was designed to move as a mobile. 
 
Aldo created an original set of 160 hand made slides (lumagrams) which were projected from two carousel projectors.  These slides all had a black circle split down the middle leaving a band of light in the center.  The dancer used the black space and the light area to improvise movement in and out of the light.  She also used a big loop to create the image of a circle within a circle. The projectors were hand-held and moved in a circular motion seen on the screen and on the dancer.  At one point a 16mm film, from the “Black Film Series,” added a faster kinetic movement.  The sound consisted of an intense improvisation of drums, upright bass, or amplified cello depending on the performance.",,Electromedia,,,,,,,,,
42,AT.E.0030,Aldo foundation,,Montreal-42nd Festival Nouveau Cinema,,2015-12-05,Moondial,Performance - Moondial,10/05/2013,,,,,,,,,,,,,
43,AT.E.0031,Aldo foundation,,,,2015-12-05,Moondial,Performance - Moondial,,,,,,,,,,,,,,
44,AT.N.0001,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,2016-08-03,,Artist notebooks,"August, 1988","Paper, India ink","Aug 88 N.Y.C. is written on inside cover. On the first page is a typed philosophical statement on color. ""6"" is written on the back inside cover. Inside pages are paintings.",Very good. 2 pages loose; 2 pages stuck together,Notebook,8.0,11.0,1.5,,,,,,
45,AT.N.0002,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,2016-08-03,,Artist notebooks,July 1988,"Paper, India ink",Signed Aldo Tambellini. Dated July 88 N.Y.C.,Excellent,Notebook,6.0,8.5,1.75,,,,,,
46,AT.N.0003,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,2016-08-03,Aldo Tambellini Notes 1967,Artist notebooks,1967,"Paper, India ink","Name and dated written on first page. Black circle painted on inside front cover. Contains notes on Blackout performance 1967, drawings, and notes on television performances. 45 pages of artwork, many signed.",excellent,Notebook,10.25,8.5,,,,,,,
47,AT.N.0004,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,2016-08-03,Notes 1963 1964,Artist notebooks,1963-1964,"Paper, India ink","Decorated cover with black circle. Signed Aldo Tambellini on inside cover. ""Notes 1963 1964"" written on first page. Contains circular poems, notes, and drawings",Good. Many loose pages,Notebook,11.0,14.0,1.0,,,,,,
48,AT.N.0005,Gifted,ZKM Exhibit,Aldo Tambellini Archive,,2016-08-03,,Artist notebooks,1964,"Paper, India ink",Signed Aldo Tambellini 1964 on first page,,Notebook,8.0,10.0,0.5,,,,,,
49,AT.P.3013,Aldo foundation,,,,,,,,,,,Painting,,,,,AT.P.3013.jpg,,,,
50,AT.P 0774,Aldo foundation,,,,2016-01-21,tTo Black I  Bring  the Light,poetry Poster,c 1961,ink on poster paper,,,,,,,,,,,,
51,AT.P.0001,Anna,Anna,Rack 1,,2013-05-09,Destruction 20,Black Is Series,,wax and graphite on cardboard with incisions and burns,"Verso: CL  ""A.Tambellini R 1004"" Recto: LR ""Aldo Tambellini '62""",,Painting,29.75,39.75,,,,,,,
52,AT.P.0002,Anna,"Anna, JCG",Rack 1,,2013-05-09,A-8, Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",Slipped from the hinge,Painting,29.75,42.0,,,,,,,
53,AT.P.0003,Anna,Anna,Rack 1,,2013-05-09,B-1,Black Energy Suspended Series,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.625,42.0,,,,,,,
54,AT.P.0004,Anna,Anna,Rack 1,,2013-05-09,PFT-103, Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42.0,,,,,,,
55,AT.P.0005,Anna,Anna,Rack 2,,2013-05-09,B-2,Black Energy Suspended Series,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.875,42.0,,,,,,,
56,AT.P.0006,Anna,Anna,Rack 2,,2013-05-09,A-22, Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42.0,,,,,,,
57,AT.P.0007,Aldo foundation,,Rack 2,,2013-05-09,,Destruction Series II ,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32.0,39.625,,,,,,,
58,AT.P.0008,Aldo foundation,,Rack 2,,2013-05-09,A-430, Black Energy Suspended Series,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89""",,Painting,29.875,42.0,,,,,,,
59,AT.P.0009,Aldo foundation,,Rack 3,,2013-05-09,L-1, Black Energy Suspended Series,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89""",Frame chipped,Painting,29.875,42.0,,,,,,,
60,AT.P.0010,Aldo foundation,,Rack 3,,2013-05-09,,Destruction Series II ,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,31.75,39.75,,,,,,,
61,AT.P.0011,Anna,Gifted to Anna,Rack 3,,2013-05-09,B-4, Black Energy Suspended Series,,acrylic on bleached architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,40.0,,,,,,,
62,AT.P.0012,Anna,Anna,Rack 3,,2013-05-09,AC-1,Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
63,AT.P.0013,Aldo foundation,,Rack 4,,2013-05-09,Black 4, Black Is Series,,graphite and wax on cardboard,,,Painting,31.75,39.75,,,,,,,
64,AT.P.0014,Aldo foundation,,Rack 4,,2013-05-09,GA-500, Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
65,AT.P.0015,Anna,"Gifted to Anna, SOLD JCG",Rack 4,,2013-05-09,E-7, Black Energy suspended Series,,acrylic on architectural paper with incisions,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
66,AT.P.0016,Anna,Anna,Rack 4,,2013-05-09,S-5G, Black Energy Suspended Series,ca. 1969,acrylic and graphite on architectural paper with incisions,"Recto: LR ""Aldo Tambellini '89""",,Painting,29.75,42.0,,,,,,,
67,AT.P.0017,Anna,"Gifted to Anna, JCG",Rack 5,,2013-05-09,A-410, Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
68,AT.P.0018,Anna,"Gifted to Anna, JCG",Rack 5,,2013-05-09,A-5,Black Energy Suspended Series,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
69,AT.P.0019,Aldo foundation,,Rack 5,,2013-05-09,AD-00, Black Energy Suspended Series,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89""",,Painting,30.0,42.0,,,,,,,
70,AT.P.0020,Aldo foundation,,Rack 5,,2013-05-09,?(3), Destruction,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,31.75,39.75,,,,,,,
71,AT.P.0021,Anna, Gifted to Anna    ZKM Exhibit,Rack 5,,2013-05-09,Arriving is a Point of Never Arriving, Manifesto Series,,acrylic on paper,"UL: ""Summer 61 Arriving is a Point of Never Arriving"" UR:""The arrival is at the constant process of giving birth of not knowing"" LR"" arriving is a point of never arriving"" / ""Aldo Tambellini 1961""",,Painting,25.75,38.375,,,,,,,
72,AT.P.0022,Anna,Gifted to Anna     ZKM Exhibit,Rack 5,,2013-05-09,We are Alone, Manifesto Series,,acrylic on paper,"LR: ""We see the intimate structure of a plant / we feel the inconceivable structure of the universe / we need everything and everyone in the process of discovery."" / ""Then we are alone / Aldo Tambellini 1961""",,Painting,25.625,38.75,,,,,,,
73,AT.P.0023,Aldo foundation,,Rack 6,,2013-05-09,Untitled,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,51.25,,,,,,,
74,AT.P.0024,Aldo foundation,,Rack 6,,2013-05-09,Eclipse 2,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,75.375,,,,,,,
75,AT.P.0025,Gifted,ZKM Exhibit?? JCG,Rack 7,,2013-05-09,The Cell Grew into a Star, Manifesto Series,,"Monoprint, duco and pencil on paper","LR: ""Aldo Tambellini '61"" / CR ""The cell grew into a star the star grew into seed the seed grew into an atom the atom grew grew into a breath grew grew the breath grew into a cave the cave into a cosmo the grew into a volcano the volcano grew into a cell.""",,Painting,22.5,35.0,,,,,,,
76,AT.P.0026,Aldo foundation,,Rack 7,,2013-05-09,Black Energy 3, Black Energy Burns with Fire,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30.125,40.0,,,,,,,
77,AT.P.0027,Aldo foundation,,Rack 7,,2013-05-09,Untitled,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45.0,35.375,,,,,,,
78,AT.P.0028,Aldo foundation,,Rack 6,,2013-05-09,Untitled,,,Duco and acrylic on masonite,"LC: ""A.Tambellini""",,Painting,45.0,35.375,,,,,,,
79,AT.P.0029,Anna,"Gifted to Anna, Inventing Downtown, JCG",Rack 6,,2013-05-09,We Are the Primitives of a New Era, Manifesto Series,c 1961,"duco, acrylic, pencil on paper","UR: ""We are the primitives of a new era."" LR: ""Aldo Tambellini '61""",,Painting,25.0,30.0,,,,,,,
80,AT.P.0030,Aldo foundation,,Rack 7,,2013-05-09,,Destruction Series II ,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 88""",,Painting,20.0,30.0,,,,,,,
81,AT.P.0031,Aldo foundation,,Rack 7,,2013-05-09,Destruction, Destruction II Series,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 89""",,Painting,31.75,39.75,,,,,,,
82,AT.P.0032,Anna,"Gifted to Anna, JCG",Rack 7,,2013-05-09,EB-2, To Be Enveloped by Black,,Duco on paper,"LR: ""Aldo Tambellini'61""",,Painting,23.0,,,,,,,,
83,AT.P.0033,Anna,"Anna
Anna",Rack 7,,2013-05-09,Black Energy 2,Black Energy Burns with Fire,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""","Corner piece off, Backing on Frame torn",Painting,30.0,39.0,,,,,,,
84,AT.P.0034,Anna,Anna,Rack 7,,2013-05-09,Black Energy 1,,,acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30.0,39.0,,,,,,,
85,AT.P.0035,Aldo foundation,,Rack 7,,2013-05-09,B ? , Suspended,,acrylic and graphite on architectural paper,"LR: ""Aldo Tambellini '89""",Frame damage,Painting,29.75,41.75,,,,,,,
86,AT.P.0036,Anna,"Gifted to Anna, JCG",Rack 7,,2013-05-09,A-11, Suspended Series,ca. 1989,graphite and acrylic on architecture paper,,,Painting,30.0,42.0,,,AT.P.36.jpg,,,,
87,AT.P.0037,Aldo foundation,,Rack 7,,2013-05-09,BS-1, Black Space Series,ca. 1961-62,Duco and sand on paper,,,Painting,25.75,,,,AT.P.37.jpg,,,,
88,AT.P.0038,Anna,"Gifted to Anna, JCG",Rack 7,,2013-05-09,The Seed 13, The Black Seed of Cosmic Creation Series,,Duco and graphite on paper,"LR: ""Aldo Tambellini Feb 19-62""",,Painting,25.0,19.0,,,AT.P.38.jpg,,,,
89,AT.P.0039,Aldo foundation,,Rack 7,,2013-05-09,Silent Series I,Silent Series,,Duco and graphite on paper,"Verso: UL: ""June 1964"" UC: Silence I Top"" / UR: ""Top Aldo Tambellini 414 West Broadway, NYC"" LR: ""Aldo Tambellini There is a need for more people like you""",,Painting,28.75,32.125,,,AT.P.39.jpg,,,,
90,AT.P.0040,Aldo foundation,,Rack 7,,2013-05-09,Silent Series II,Silent Series,ca. 1964,Duco on paper on Masonite,"Verso: UC: ""Aldo Tambellini / 1009 - 1010""",,Painting,28.75,32.0,,,AT.P.40.jpg,,,,
91,AT.P.0041,Aldo foundation,,Rack 7,,2013-05-09,Silent Series III,Silent Series,ca. 1964,Duco on paper on Masonite,,,Painting,28.75,32.0,,,AT.P.41.jpg,,,,
92,AT.P.0042,Aldo foundation,Gifted to Wendy in memorial,Rack 7,,2013-05-09,BS-4, Black Space Series,ca. 1961-62,"Duco, acrylic, and sand on paper",,,Painting,26.0,,,,AT.P.43.jpg,,,,
93,AT.P.0043,Aldo foundation,Gifted for Christmas to Wendy 2018,,25000,2013-05-09,BS-2, Black Space Series,ca. 1961-62,Duco and sand on paper,,,Painting,26.0,,,,IMG_3402.JPG,,,,
94,AT.P.0044,Aldo foundation,,Rack 7,,2013-05-09,Untitled,,ca. 1961-62,Duco on paper,,,Painting,32.0,28.5,,,AT.P.44.jpg,,,,
95,AT.P.0045,Anna,Gifted to Anna,Rack 7,,2013-05-09,The Seed 1, The Black Seed of Cosmic Creation Series,,Duco and sand on paper,"LR: ""Aldo Tambellini '61""",,Painting,25.875,26.0,,,AT.P.45.jpg,,,,
